budget,max_tokens,seed,model,slot,experiment_name,experiment_config,train_config,model_config,summary_path,status
10m,10000000,2027,mla_moe_220m,04,main_large_10m_seed2027_04_mla_moe_220m,configs/experiment/main_large_10m_seed2027_04_mla_moe_220m.yaml,configs/train/main_large_10m_seed2027.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_10m_seed2027_04_mla_moe_220m/summary.json,queued_missing_summary
10m,10000000,2027,v3_routing_220m,05,main_large_10m_seed2027_05_v3_routing_220m,configs/experiment/main_large_10m_seed2027_05_v3_routing_220m.yaml,configs/train/main_large_10m_seed2027.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_10m_seed2027_05_v3_routing_220m/summary.json,queued_missing_summary
10m,10000000,31415,dense_121m,00,main_large_10m_seed31415_00_dense_121m,configs/experiment/main_large_10m_seed31415_00_dense_121m.yaml,configs/train/main_large_10m_seed31415.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_10m_seed31415_00_dense_121m/summary.json,queued_missing_summary
10m,10000000,31415,mla_121m,01,main_large_10m_seed31415_01_mla_121m,configs/experiment/main_large_10m_seed31415_01_mla_121m.yaml,configs/train/main_large_10m_seed31415.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_10m_seed31415_01_mla_121m/summary.json,queued_missing_summary
10m,10000000,31415,mtp_121m,02,main_large_10m_seed31415_02_mtp_121m,configs/experiment/main_large_10m_seed31415_02_mtp_121m.yaml,configs/train/main_large_10m_seed31415.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_10m_seed31415_02_mtp_121m/summary.json,queued_missing_summary
10m,10000000,31415,moe_220m,03,main_large_10m_seed31415_03_moe_220m,configs/experiment/main_large_10m_seed31415_03_moe_220m.yaml,configs/train/main_large_10m_seed31415.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_10m_seed31415_03_moe_220m/summary.json,queued_missing_summary
10m,10000000,31415,mla_moe_220m,04,main_large_10m_seed31415_04_mla_moe_220m,configs/experiment/main_large_10m_seed31415_04_mla_moe_220m.yaml,configs/train/main_large_10m_seed31415.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_10m_seed31415_04_mla_moe_220m/summary.json,queued_missing_summary
10m,10000000,31415,v3_routing_220m,05,main_large_10m_seed31415_05_v3_routing_220m,configs/experiment/main_large_10m_seed31415_05_v3_routing_220m.yaml,configs/train/main_large_10m_seed31415.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_10m_seed31415_05_v3_routing_220m/summary.json,queued_missing_summary
10m,10000000,4441,dense_121m,00,main_large_10m_seed4441_00_dense_121m,configs/experiment/main_large_10m_seed4441_00_dense_121m.yaml,configs/train/main_large_10m_seed4441.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_10m_seed4441_00_dense_121m/summary.json,queued_missing_summary
10m,10000000,4441,mla_121m,01,main_large_10m_seed4441_01_mla_121m,configs/experiment/main_large_10m_seed4441_01_mla_121m.yaml,configs/train/main_large_10m_seed4441.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_10m_seed4441_01_mla_121m/summary.json,queued_missing_summary
10m,10000000,4441,mtp_121m,02,main_large_10m_seed4441_02_mtp_121m,configs/experiment/main_large_10m_seed4441_02_mtp_121m.yaml,configs/train/main_large_10m_seed4441.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_10m_seed4441_02_mtp_121m/summary.json,queued_missing_summary
10m,10000000,4441,moe_220m,03,main_large_10m_seed4441_03_moe_220m,configs/experiment/main_large_10m_seed4441_03_moe_220m.yaml,configs/train/main_large_10m_seed4441.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_10m_seed4441_03_moe_220m/summary.json,queued_missing_summary
10m,10000000,4441,mla_moe_220m,04,main_large_10m_seed4441_04_mla_moe_220m,configs/experiment/main_large_10m_seed4441_04_mla_moe_220m.yaml,configs/train/main_large_10m_seed4441.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_10m_seed4441_04_mla_moe_220m/summary.json,queued_missing_summary
10m,10000000,4441,v3_routing_220m,05,main_large_10m_seed4441_05_v3_routing_220m,configs/experiment/main_large_10m_seed4441_05_v3_routing_220m.yaml,configs/train/main_large_10m_seed4441.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_10m_seed4441_05_v3_routing_220m/summary.json,queued_missing_summary
10m,10000000,5501,dense_121m,00,main_large_10m_seed5501_00_dense_121m,configs/experiment/main_large_10m_seed5501_00_dense_121m.yaml,configs/train/main_large_10m_seed5501.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_10m_seed5501_00_dense_121m/summary.json,queued_missing_summary
10m,10000000,5501,mla_121m,01,main_large_10m_seed5501_01_mla_121m,configs/experiment/main_large_10m_seed5501_01_mla_121m.yaml,configs/train/main_large_10m_seed5501.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_10m_seed5501_01_mla_121m/summary.json,queued_missing_summary
10m,10000000,5501,mtp_121m,02,main_large_10m_seed5501_02_mtp_121m,configs/experiment/main_large_10m_seed5501_02_mtp_121m.yaml,configs/train/main_large_10m_seed5501.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_10m_seed5501_02_mtp_121m/summary.json,queued_missing_summary
10m,10000000,5501,moe_220m,03,main_large_10m_seed5501_03_moe_220m,configs/experiment/main_large_10m_seed5501_03_moe_220m.yaml,configs/train/main_large_10m_seed5501.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_10m_seed5501_03_moe_220m/summary.json,queued_missing_summary
10m,10000000,5501,mla_moe_220m,04,main_large_10m_seed5501_04_mla_moe_220m,configs/experiment/main_large_10m_seed5501_04_mla_moe_220m.yaml,configs/train/main_large_10m_seed5501.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_10m_seed5501_04_mla_moe_220m/summary.json,queued_missing_summary
10m,10000000,5501,v3_routing_220m,05,main_large_10m_seed5501_05_v3_routing_220m,configs/experiment/main_large_10m_seed5501_05_v3_routing_220m.yaml,configs/train/main_large_10m_seed5501.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_10m_seed5501_05_v3_routing_220m/summary.json,queued_missing_summary
10m,10000000,6173,dense_121m,00,main_large_10m_seed6173_00_dense_121m,configs/experiment/main_large_10m_seed6173_00_dense_121m.yaml,configs/train/main_large_10m_seed6173.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_10m_seed6173_00_dense_121m/summary.json,queued_missing_summary
10m,10000000,6173,mla_121m,01,main_large_10m_seed6173_01_mla_121m,configs/experiment/main_large_10m_seed6173_01_mla_121m.yaml,configs/train/main_large_10m_seed6173.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_10m_seed6173_01_mla_121m/summary.json,queued_missing_summary
10m,10000000,6173,mtp_121m,02,main_large_10m_seed6173_02_mtp_121m,configs/experiment/main_large_10m_seed6173_02_mtp_121m.yaml,configs/train/main_large_10m_seed6173.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_10m_seed6173_02_mtp_121m/summary.json,queued_missing_summary
10m,10000000,6173,moe_220m,03,main_large_10m_seed6173_03_moe_220m,configs/experiment/main_large_10m_seed6173_03_moe_220m.yaml,configs/train/main_large_10m_seed6173.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_10m_seed6173_03_moe_220m/summary.json,queued_missing_summary
10m,10000000,6173,mla_moe_220m,04,main_large_10m_seed6173_04_mla_moe_220m,configs/experiment/main_large_10m_seed6173_04_mla_moe_220m.yaml,configs/train/main_large_10m_seed6173.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_10m_seed6173_04_mla_moe_220m/summary.json,queued_missing_summary
10m,10000000,6173,v3_routing_220m,05,main_large_10m_seed6173_05_v3_routing_220m,configs/experiment/main_large_10m_seed6173_05_v3_routing_220m.yaml,configs/train/main_large_10m_seed6173.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_10m_seed6173_05_v3_routing_220m/summary.json,queued_missing_summary
10m,10000000,8191,dense_121m,00,main_large_10m_seed8191_00_dense_121m,configs/experiment/main_large_10m_seed8191_00_dense_121m.yaml,configs/train/main_large_10m_seed8191.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_10m_seed8191_00_dense_121m/summary.json,queued_missing_summary
10m,10000000,8191,mla_121m,01,main_large_10m_seed8191_01_mla_121m,configs/experiment/main_large_10m_seed8191_01_mla_121m.yaml,configs/train/main_large_10m_seed8191.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_10m_seed8191_01_mla_121m/summary.json,queued_missing_summary
10m,10000000,8191,mtp_121m,02,main_large_10m_seed8191_02_mtp_121m,configs/experiment/main_large_10m_seed8191_02_mtp_121m.yaml,configs/train/main_large_10m_seed8191.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_10m_seed8191_02_mtp_121m/summary.json,queued_missing_summary
10m,10000000,8191,moe_220m,03,main_large_10m_seed8191_03_moe_220m,configs/experiment/main_large_10m_seed8191_03_moe_220m.yaml,configs/train/main_large_10m_seed8191.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_10m_seed8191_03_moe_220m/summary.json,queued_missing_summary
10m,10000000,8191,mla_moe_220m,04,main_large_10m_seed8191_04_mla_moe_220m,configs/experiment/main_large_10m_seed8191_04_mla_moe_220m.yaml,configs/train/main_large_10m_seed8191.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_10m_seed8191_04_mla_moe_220m/summary.json,queued_missing_summary
10m,10000000,8191,v3_routing_220m,05,main_large_10m_seed8191_05_v3_routing_220m,configs/experiment/main_large_10m_seed8191_05_v3_routing_220m.yaml,configs/train/main_large_10m_seed8191.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_10m_seed8191_05_v3_routing_220m/summary.json,queued_missing_summary
10m,10000000,10007,dense_121m,00,main_large_10m_seed10007_00_dense_121m,configs/experiment/main_large_10m_seed10007_00_dense_121m.yaml,configs/train/main_large_10m_seed10007.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_10m_seed10007_00_dense_121m/summary.json,queued_missing_summary
10m,10000000,10007,mla_121m,01,main_large_10m_seed10007_01_mla_121m,configs/experiment/main_large_10m_seed10007_01_mla_121m.yaml,configs/train/main_large_10m_seed10007.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_10m_seed10007_01_mla_121m/summary.json,queued_missing_summary
10m,10000000,10007,mtp_121m,02,main_large_10m_seed10007_02_mtp_121m,configs/experiment/main_large_10m_seed10007_02_mtp_121m.yaml,configs/train/main_large_10m_seed10007.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_10m_seed10007_02_mtp_121m/summary.json,queued_missing_summary
10m,10000000,10007,moe_220m,03,main_large_10m_seed10007_03_moe_220m,configs/experiment/main_large_10m_seed10007_03_moe_220m.yaml,configs/train/main_large_10m_seed10007.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_10m_seed10007_03_moe_220m/summary.json,queued_missing_summary
10m,10000000,10007,mla_moe_220m,04,main_large_10m_seed10007_04_mla_moe_220m,configs/experiment/main_large_10m_seed10007_04_mla_moe_220m.yaml,configs/train/main_large_10m_seed10007.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_10m_seed10007_04_mla_moe_220m/summary.json,queued_missing_summary
10m,10000000,10007,v3_routing_220m,05,main_large_10m_seed10007_05_v3_routing_220m,configs/experiment/main_large_10m_seed10007_05_v3_routing_220m.yaml,configs/train/main_large_10m_seed10007.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_10m_seed10007_05_v3_routing_220m/summary.json,queued_missing_summary
10m,10000000,11213,dense_121m,00,main_large_10m_seed11213_00_dense_121m,configs/experiment/main_large_10m_seed11213_00_dense_121m.yaml,configs/train/main_large_10m_seed11213.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_10m_seed11213_00_dense_121m/summary.json,queued_missing_summary
10m,10000000,11213,mla_121m,01,main_large_10m_seed11213_01_mla_121m,configs/experiment/main_large_10m_seed11213_01_mla_121m.yaml,configs/train/main_large_10m_seed11213.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_10m_seed11213_01_mla_121m/summary.json,queued_missing_summary
10m,10000000,11213,mtp_121m,02,main_large_10m_seed11213_02_mtp_121m,configs/experiment/main_large_10m_seed11213_02_mtp_121m.yaml,configs/train/main_large_10m_seed11213.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_10m_seed11213_02_mtp_121m/summary.json,queued_missing_summary
10m,10000000,11213,moe_220m,03,main_large_10m_seed11213_03_moe_220m,configs/experiment/main_large_10m_seed11213_03_moe_220m.yaml,configs/train/main_large_10m_seed11213.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_10m_seed11213_03_moe_220m/summary.json,queued_missing_summary
10m,10000000,11213,mla_moe_220m,04,main_large_10m_seed11213_04_mla_moe_220m,configs/experiment/main_large_10m_seed11213_04_mla_moe_220m.yaml,configs/train/main_large_10m_seed11213.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_10m_seed11213_04_mla_moe_220m/summary.json,queued_missing_summary
10m,10000000,11213,v3_routing_220m,05,main_large_10m_seed11213_05_v3_routing_220m,configs/experiment/main_large_10m_seed11213_05_v3_routing_220m.yaml,configs/train/main_large_10m_seed11213.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_10m_seed11213_05_v3_routing_220m/summary.json,queued_missing_summary
10m,10000000,12721,dense_121m,00,main_large_10m_seed12721_00_dense_121m,configs/experiment/main_large_10m_seed12721_00_dense_121m.yaml,configs/train/main_large_10m_seed12721.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_10m_seed12721_00_dense_121m/summary.json,queued_missing_summary
10m,10000000,12721,mla_121m,01,main_large_10m_seed12721_01_mla_121m,configs/experiment/main_large_10m_seed12721_01_mla_121m.yaml,configs/train/main_large_10m_seed12721.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_10m_seed12721_01_mla_121m/summary.json,queued_missing_summary
10m,10000000,12721,mtp_121m,02,main_large_10m_seed12721_02_mtp_121m,configs/experiment/main_large_10m_seed12721_02_mtp_121m.yaml,configs/train/main_large_10m_seed12721.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_10m_seed12721_02_mtp_121m/summary.json,queued_missing_summary
10m,10000000,12721,moe_220m,03,main_large_10m_seed12721_03_moe_220m,configs/experiment/main_large_10m_seed12721_03_moe_220m.yaml,configs/train/main_large_10m_seed12721.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_10m_seed12721_03_moe_220m/summary.json,queued_missing_summary
10m,10000000,12721,mla_moe_220m,04,main_large_10m_seed12721_04_mla_moe_220m,configs/experiment/main_large_10m_seed12721_04_mla_moe_220m.yaml,configs/train/main_large_10m_seed12721.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_10m_seed12721_04_mla_moe_220m/summary.json,queued_missing_summary
10m,10000000,12721,v3_routing_220m,05,main_large_10m_seed12721_05_v3_routing_220m,configs/experiment/main_large_10m_seed12721_05_v3_routing_220m.yaml,configs/train/main_large_10m_seed12721.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_10m_seed12721_05_v3_routing_220m/summary.json,queued_missing_summary
25m,25000000,1337,dense_121m,00,main_large_25m_00_dense_121m,configs/experiment/main_large_25m_00_dense_121m.yaml,configs/train/main_large_25m.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_25m_00_dense_121m/summary.json,complete_existing_summary
25m,25000000,1337,mla_121m,01,main_large_25m_01_mla_121m,configs/experiment/main_large_25m_01_mla_121m.yaml,configs/train/main_large_25m.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_25m_01_mla_121m/summary.json,complete_existing_summary
25m,25000000,1337,mtp_121m,02,main_large_25m_02_mtp_121m,configs/experiment/main_large_25m_02_mtp_121m.yaml,configs/train/main_large_25m.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_25m_02_mtp_121m/summary.json,complete_existing_summary
25m,25000000,1337,moe_220m,03,main_large_25m_03_moe_220m,configs/experiment/main_large_25m_03_moe_220m.yaml,configs/train/main_large_25m.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_25m_03_moe_220m/summary.json,complete_existing_summary
25m,25000000,1337,mla_moe_220m,04,main_large_25m_04_mla_moe_220m,configs/experiment/main_large_25m_04_mla_moe_220m.yaml,configs/train/main_large_25m.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_25m_04_mla_moe_220m/summary.json,complete_existing_summary
25m,25000000,1337,v3_routing_220m,05,main_large_25m_05_v3_routing_220m,configs/experiment/main_large_25m_05_v3_routing_220m.yaml,configs/train/main_large_25m.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_25m_05_v3_routing_220m/summary.json,complete_existing_summary
25m,25000000,2027,dense_121m,00,main_large_25m_seed2027_00_dense_121m,configs/experiment/main_large_25m_seed2027_00_dense_121m.yaml,configs/train/main_large_25m_seed2027.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_25m_seed2027_00_dense_121m/summary.json,queued_missing_summary
25m,25000000,2027,mla_121m,01,main_large_25m_seed2027_01_mla_121m,configs/experiment/main_large_25m_seed2027_01_mla_121m.yaml,configs/train/main_large_25m_seed2027.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_25m_seed2027_01_mla_121m/summary.json,queued_missing_summary
25m,25000000,2027,mtp_121m,02,main_large_25m_seed2027_02_mtp_121m,configs/experiment/main_large_25m_seed2027_02_mtp_121m.yaml,configs/train/main_large_25m_seed2027.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_25m_seed2027_02_mtp_121m/summary.json,queued_missing_summary
25m,25000000,2027,moe_220m,03,main_large_25m_seed2027_03_moe_220m,configs/experiment/main_large_25m_seed2027_03_moe_220m.yaml,configs/train/main_large_25m_seed2027.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_25m_seed2027_03_moe_220m/summary.json,queued_missing_summary
25m,25000000,2027,mla_moe_220m,04,main_large_25m_seed2027_04_mla_moe_220m,configs/experiment/main_large_25m_seed2027_04_mla_moe_220m.yaml,configs/train/main_large_25m_seed2027.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_25m_seed2027_04_mla_moe_220m/summary.json,queued_missing_summary
25m,25000000,2027,v3_routing_220m,05,main_large_25m_seed2027_05_v3_routing_220m,configs/experiment/main_large_25m_seed2027_05_v3_routing_220m.yaml,configs/train/main_large_25m_seed2027.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_25m_seed2027_05_v3_routing_220m/summary.json,queued_missing_summary
25m,25000000,31415,dense_121m,00,main_large_25m_seed31415_00_dense_121m,configs/experiment/main_large_25m_seed31415_00_dense_121m.yaml,configs/train/main_large_25m_seed31415.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_25m_seed31415_00_dense_121m/summary.json,queued_missing_summary
25m,25000000,31415,mla_121m,01,main_large_25m_seed31415_01_mla_121m,configs/experiment/main_large_25m_seed31415_01_mla_121m.yaml,configs/train/main_large_25m_seed31415.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_25m_seed31415_01_mla_121m/summary.json,queued_missing_summary
25m,25000000,31415,mtp_121m,02,main_large_25m_seed31415_02_mtp_121m,configs/experiment/main_large_25m_seed31415_02_mtp_121m.yaml,configs/train/main_large_25m_seed31415.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_25m_seed31415_02_mtp_121m/summary.json,queued_missing_summary
25m,25000000,31415,moe_220m,03,main_large_25m_seed31415_03_moe_220m,configs/experiment/main_large_25m_seed31415_03_moe_220m.yaml,configs/train/main_large_25m_seed31415.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_25m_seed31415_03_moe_220m/summary.json,queued_missing_summary
25m,25000000,31415,mla_moe_220m,04,main_large_25m_seed31415_04_mla_moe_220m,configs/experiment/main_large_25m_seed31415_04_mla_moe_220m.yaml,configs/train/main_large_25m_seed31415.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_25m_seed31415_04_mla_moe_220m/summary.json,queued_missing_summary
25m,25000000,31415,v3_routing_220m,05,main_large_25m_seed31415_05_v3_routing_220m,configs/experiment/main_large_25m_seed31415_05_v3_routing_220m.yaml,configs/train/main_large_25m_seed31415.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_25m_seed31415_05_v3_routing_220m/summary.json,queued_missing_summary
25m,25000000,4441,dense_121m,00,main_large_25m_seed4441_00_dense_121m,configs/experiment/main_large_25m_seed4441_00_dense_121m.yaml,configs/train/main_large_25m_seed4441.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_25m_seed4441_00_dense_121m/summary.json,queued_missing_summary
25m,25000000,4441,mla_121m,01,main_large_25m_seed4441_01_mla_121m,configs/experiment/main_large_25m_seed4441_01_mla_121m.yaml,configs/train/main_large_25m_seed4441.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_25m_seed4441_01_mla_121m/summary.json,queued_missing_summary
25m,25000000,4441,mtp_121m,02,main_large_25m_seed4441_02_mtp_121m,configs/experiment/main_large_25m_seed4441_02_mtp_121m.yaml,configs/train/main_large_25m_seed4441.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_25m_seed4441_02_mtp_121m/summary.json,queued_missing_summary
25m,25000000,4441,moe_220m,03,main_large_25m_seed4441_03_moe_220m,configs/experiment/main_large_25m_seed4441_03_moe_220m.yaml,configs/train/main_large_25m_seed4441.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_25m_seed4441_03_moe_220m/summary.json,queued_missing_summary
25m,25000000,4441,mla_moe_220m,04,main_large_25m_seed4441_04_mla_moe_220m,configs/experiment/main_large_25m_seed4441_04_mla_moe_220m.yaml,configs/train/main_large_25m_seed4441.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_25m_seed4441_04_mla_moe_220m/summary.json,queued_missing_summary
25m,25000000,4441,v3_routing_220m,05,main_large_25m_seed4441_05_v3_routing_220m,configs/experiment/main_large_25m_seed4441_05_v3_routing_220m.yaml,configs/train/main_large_25m_seed4441.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_25m_seed4441_05_v3_routing_220m/summary.json,queued_missing_summary
25m,25000000,5501,dense_121m,00,main_large_25m_seed5501_00_dense_121m,configs/experiment/main_large_25m_seed5501_00_dense_121m.yaml,configs/train/main_large_25m_seed5501.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_25m_seed5501_00_dense_121m/summary.json,queued_missing_summary
25m,25000000,5501,mla_121m,01,main_large_25m_seed5501_01_mla_121m,configs/experiment/main_large_25m_seed5501_01_mla_121m.yaml,configs/train/main_large_25m_seed5501.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_25m_seed5501_01_mla_121m/summary.json,queued_missing_summary
25m,25000000,5501,mtp_121m,02,main_large_25m_seed5501_02_mtp_121m,configs/experiment/main_large_25m_seed5501_02_mtp_121m.yaml,configs/train/main_large_25m_seed5501.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_25m_seed5501_02_mtp_121m/summary.json,queued_missing_summary
25m,25000000,5501,moe_220m,03,main_large_25m_seed5501_03_moe_220m,configs/experiment/main_large_25m_seed5501_03_moe_220m.yaml,configs/train/main_large_25m_seed5501.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_25m_seed5501_03_moe_220m/summary.json,queued_missing_summary
25m,25000000,5501,mla_moe_220m,04,main_large_25m_seed5501_04_mla_moe_220m,configs/experiment/main_large_25m_seed5501_04_mla_moe_220m.yaml,configs/train/main_large_25m_seed5501.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_25m_seed5501_04_mla_moe_220m/summary.json,queued_missing_summary
25m,25000000,5501,v3_routing_220m,05,main_large_25m_seed5501_05_v3_routing_220m,configs/experiment/main_large_25m_seed5501_05_v3_routing_220m.yaml,configs/train/main_large_25m_seed5501.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_25m_seed5501_05_v3_routing_220m/summary.json,queued_missing_summary
25m,25000000,6173,dense_121m,00,main_large_25m_seed6173_00_dense_121m,configs/experiment/main_large_25m_seed6173_00_dense_121m.yaml,configs/train/main_large_25m_seed6173.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_25m_seed6173_00_dense_121m/summary.json,queued_missing_summary
25m,25000000,6173,mla_121m,01,main_large_25m_seed6173_01_mla_121m,configs/experiment/main_large_25m_seed6173_01_mla_121m.yaml,configs/train/main_large_25m_seed6173.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_25m_seed6173_01_mla_121m/summary.json,queued_missing_summary
25m,25000000,6173,mtp_121m,02,main_large_25m_seed6173_02_mtp_121m,configs/experiment/main_large_25m_seed6173_02_mtp_121m.yaml,configs/train/main_large_25m_seed6173.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_25m_seed6173_02_mtp_121m/summary.json,queued_missing_summary
