budget,seed,model,experiment_name,summary_path,summary_exists,summary_parseable,has_validation_loss,has_test_loss,has_validation_perplexity,has_test_perplexity,has_tokens_per_second,has_peak_memory,has_total_parameters,has_trainable_parameters,has_activated_parameters,has_tokens_per_total_parameter,has_tokens_per_activated_parameter,has_routing_or_expert_metric,has_mtp_metric
10m,31415,dense_121m,main_large_10m_seed31415_00_dense_121m,results/metrics/main_large_10m_seed31415_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,31415,mla_121m,main_large_10m_seed31415_01_mla_121m,results/metrics/main_large_10m_seed31415_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,31415,mtp_121m,main_large_10m_seed31415_02_mtp_121m,results/metrics/main_large_10m_seed31415_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,31415,moe_220m,main_large_10m_seed31415_03_moe_220m,results/metrics/main_large_10m_seed31415_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,31415,mla_moe_220m,main_large_10m_seed31415_04_mla_moe_220m,results/metrics/main_large_10m_seed31415_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,31415,v3_routing_220m,main_large_10m_seed31415_05_v3_routing_220m,results/metrics/main_large_10m_seed31415_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,4441,dense_121m,main_large_10m_seed4441_00_dense_121m,results/metrics/main_large_10m_seed4441_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,4441,mla_121m,main_large_10m_seed4441_01_mla_121m,results/metrics/main_large_10m_seed4441_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,4441,mtp_121m,main_large_10m_seed4441_02_mtp_121m,results/metrics/main_large_10m_seed4441_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,4441,moe_220m,main_large_10m_seed4441_03_moe_220m,results/metrics/main_large_10m_seed4441_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,4441,mla_moe_220m,main_large_10m_seed4441_04_mla_moe_220m,results/metrics/main_large_10m_seed4441_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,4441,v3_routing_220m,main_large_10m_seed4441_05_v3_routing_220m,results/metrics/main_large_10m_seed4441_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,5501,dense_121m,main_large_10m_seed5501_00_dense_121m,results/metrics/main_large_10m_seed5501_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,5501,mla_121m,main_large_10m_seed5501_01_mla_121m,results/metrics/main_large_10m_seed5501_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,5501,mtp_121m,main_large_10m_seed5501_02_mtp_121m,results/metrics/main_large_10m_seed5501_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,5501,moe_220m,main_large_10m_seed5501_03_moe_220m,results/metrics/main_large_10m_seed5501_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,5501,mla_moe_220m,main_large_10m_seed5501_04_mla_moe_220m,results/metrics/main_large_10m_seed5501_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,5501,v3_routing_220m,main_large_10m_seed5501_05_v3_routing_220m,results/metrics/main_large_10m_seed5501_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,6173,dense_121m,main_large_10m_seed6173_00_dense_121m,results/metrics/main_large_10m_seed6173_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,6173,mla_121m,main_large_10m_seed6173_01_mla_121m,results/metrics/main_large_10m_seed6173_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,6173,mtp_121m,main_large_10m_seed6173_02_mtp_121m,results/metrics/main_large_10m_seed6173_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,6173,moe_220m,main_large_10m_seed6173_03_moe_220m,results/metrics/main_large_10m_seed6173_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,6173,mla_moe_220m,main_large_10m_seed6173_04_mla_moe_220m,results/metrics/main_large_10m_seed6173_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,6173,v3_routing_220m,main_large_10m_seed6173_05_v3_routing_220m,results/metrics/main_large_10m_seed6173_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,8191,dense_121m,main_large_10m_seed8191_00_dense_121m,results/metrics/main_large_10m_seed8191_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,8191,mla_121m,main_large_10m_seed8191_01_mla_121m,results/metrics/main_large_10m_seed8191_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,8191,mtp_121m,main_large_10m_seed8191_02_mtp_121m,results/metrics/main_large_10m_seed8191_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,8191,moe_220m,main_large_10m_seed8191_03_moe_220m,results/metrics/main_large_10m_seed8191_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,8191,mla_moe_220m,main_large_10m_seed8191_04_mla_moe_220m,results/metrics/main_large_10m_seed8191_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,8191,v3_routing_220m,main_large_10m_seed8191_05_v3_routing_220m,results/metrics/main_large_10m_seed8191_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,10007,dense_121m,main_large_10m_seed10007_00_dense_121m,results/metrics/main_large_10m_seed10007_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,10007,mla_121m,main_large_10m_seed10007_01_mla_121m,results/metrics/main_large_10m_seed10007_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,10007,mtp_121m,main_large_10m_seed10007_02_mtp_121m,results/metrics/main_large_10m_seed10007_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,10007,moe_220m,main_large_10m_seed10007_03_moe_220m,results/metrics/main_large_10m_seed10007_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,10007,mla_moe_220m,main_large_10m_seed10007_04_mla_moe_220m,results/metrics/main_large_10m_seed10007_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,10007,v3_routing_220m,main_large_10m_seed10007_05_v3_routing_220m,results/metrics/main_large_10m_seed10007_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,11213,dense_121m,main_large_10m_seed11213_00_dense_121m,results/metrics/main_large_10m_seed11213_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,11213,mla_121m,main_large_10m_seed11213_01_mla_121m,results/metrics/main_large_10m_seed11213_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,11213,mtp_121m,main_large_10m_seed11213_02_mtp_121m,results/metrics/main_large_10m_seed11213_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,11213,moe_220m,main_large_10m_seed11213_03_moe_220m,results/metrics/main_large_10m_seed11213_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,11213,mla_moe_220m,main_large_10m_seed11213_04_mla_moe_220m,results/metrics/main_large_10m_seed11213_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,11213,v3_routing_220m,main_large_10m_seed11213_05_v3_routing_220m,results/metrics/main_large_10m_seed11213_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,12721,dense_121m,main_large_10m_seed12721_00_dense_121m,results/metrics/main_large_10m_seed12721_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,12721,mla_121m,main_large_10m_seed12721_01_mla_121m,results/metrics/main_large_10m_seed12721_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,12721,mtp_121m,main_large_10m_seed12721_02_mtp_121m,results/metrics/main_large_10m_seed12721_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,12721,moe_220m,main_large_10m_seed12721_03_moe_220m,results/metrics/main_large_10m_seed12721_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,12721,mla_moe_220m,main_large_10m_seed12721_04_mla_moe_220m,results/metrics/main_large_10m_seed12721_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,12721,v3_routing_220m,main_large_10m_seed12721_05_v3_routing_220m,results/metrics/main_large_10m_seed12721_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,1337,dense_121m,main_large_25m_00_dense_121m,results/metrics/main_large_25m_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,1337,mla_121m,main_large_25m_01_mla_121m,results/metrics/main_large_25m_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,1337,mtp_121m,main_large_25m_02_mtp_121m,results/metrics/main_large_25m_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,1337,moe_220m,main_large_25m_03_moe_220m,results/metrics/main_large_25m_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,1337,mla_moe_220m,main_large_25m_04_mla_moe_220m,results/metrics/main_large_25m_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,1337,v3_routing_220m,main_large_25m_05_v3_routing_220m,results/metrics/main_large_25m_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,2027,dense_121m,main_large_25m_seed2027_00_dense_121m,results/metrics/main_large_25m_seed2027_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,2027,mla_121m,main_large_25m_seed2027_01_mla_121m,results/metrics/main_large_25m_seed2027_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,2027,mtp_121m,main_large_25m_seed2027_02_mtp_121m,results/metrics/main_large_25m_seed2027_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,2027,moe_220m,main_large_25m_seed2027_03_moe_220m,results/metrics/main_large_25m_seed2027_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,2027,mla_moe_220m,main_large_25m_seed2027_04_mla_moe_220m,results/metrics/main_large_25m_seed2027_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,2027,v3_routing_220m,main_large_25m_seed2027_05_v3_routing_220m,results/metrics/main_large_25m_seed2027_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,31415,dense_121m,main_large_25m_seed31415_00_dense_121m,results/metrics/main_large_25m_seed31415_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,31415,mla_121m,main_large_25m_seed31415_01_mla_121m,results/metrics/main_large_25m_seed31415_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,31415,mtp_121m,main_large_25m_seed31415_02_mtp_121m,results/metrics/main_large_25m_seed31415_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,31415,moe_220m,main_large_25m_seed31415_03_moe_220m,results/metrics/main_large_25m_seed31415_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,31415,mla_moe_220m,main_large_25m_seed31415_04_mla_moe_220m,results/metrics/main_large_25m_seed31415_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,31415,v3_routing_220m,main_large_25m_seed31415_05_v3_routing_220m,results/metrics/main_large_25m_seed31415_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,4441,dense_121m,main_large_25m_seed4441_00_dense_121m,results/metrics/main_large_25m_seed4441_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,4441,mla_121m,main_large_25m_seed4441_01_mla_121m,results/metrics/main_large_25m_seed4441_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,4441,mtp_121m,main_large_25m_seed4441_02_mtp_121m,results/metrics/main_large_25m_seed4441_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,4441,moe_220m,main_large_25m_seed4441_03_moe_220m,results/metrics/main_large_25m_seed4441_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,4441,mla_moe_220m,main_large_25m_seed4441_04_mla_moe_220m,results/metrics/main_large_25m_seed4441_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,4441,v3_routing_220m,main_large_25m_seed4441_05_v3_routing_220m,results/metrics/main_large_25m_seed4441_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,5501,dense_121m,main_large_25m_seed5501_00_dense_121m,results/metrics/main_large_25m_seed5501_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,5501,mla_121m,main_large_25m_seed5501_01_mla_121m,results/metrics/main_large_25m_seed5501_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,5501,mtp_121m,main_large_25m_seed5501_02_mtp_121m,results/metrics/main_large_25m_seed5501_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,5501,moe_220m,main_large_25m_seed5501_03_moe_220m,results/metrics/main_large_25m_seed5501_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,5501,mla_moe_220m,main_large_25m_seed5501_04_mla_moe_220m,results/metrics/main_large_25m_seed5501_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,5501,v3_routing_220m,main_large_25m_seed5501_05_v3_routing_220m,results/metrics/main_large_25m_seed5501_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,6173,dense_121m,main_large_25m_seed6173_00_dense_121m,results/metrics/main_large_25m_seed6173_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,6173,mla_121m,main_large_25m_seed6173_01_mla_121m,results/metrics/main_large_25m_seed6173_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,6173,mtp_121m,main_large_25m_seed6173_02_mtp_121m,results/metrics/main_large_25m_seed6173_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,6173,moe_220m,main_large_25m_seed6173_03_moe_220m,results/metrics/main_large_25m_seed6173_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,6173,mla_moe_220m,main_large_25m_seed6173_04_mla_moe_220m,results/metrics/main_large_25m_seed6173_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,6173,v3_routing_220m,main_large_25m_seed6173_05_v3_routing_220m,results/metrics/main_large_25m_seed6173_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,8191,dense_121m,main_large_25m_seed8191_00_dense_121m,results/metrics/main_large_25m_seed8191_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,8191,mla_121m,main_large_25m_seed8191_01_mla_121m,results/metrics/main_large_25m_seed8191_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,8191,mtp_121m,main_large_25m_seed8191_02_mtp_121m,results/metrics/main_large_25m_seed8191_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,8191,moe_220m,main_large_25m_seed8191_03_moe_220m,results/metrics/main_large_25m_seed8191_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,8191,mla_moe_220m,main_large_25m_seed8191_04_mla_moe_220m,results/metrics/main_large_25m_seed8191_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,8191,v3_routing_220m,main_large_25m_seed8191_05_v3_routing_220m,results/metrics/main_large_25m_seed8191_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,10007,dense_121m,main_large_25m_seed10007_00_dense_121m,results/metrics/main_large_25m_seed10007_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,10007,mla_121m,main_large_25m_seed10007_01_mla_121m,results/metrics/main_large_25m_seed10007_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,10007,mtp_121m,main_large_25m_seed10007_02_mtp_121m,results/metrics/main_large_25m_seed10007_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,10007,moe_220m,main_large_25m_seed10007_03_moe_220m,results/metrics/main_large_25m_seed10007_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,10007,mla_moe_220m,main_large_25m_seed10007_04_mla_moe_220m,results/metrics/main_large_25m_seed10007_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,10007,v3_routing_220m,main_large_25m_seed10007_05_v3_routing_220m,results/metrics/main_large_25m_seed10007_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,11213,dense_121m,main_large_25m_seed11213_00_dense_121m,results/metrics/main_large_25m_seed11213_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,11213,mla_121m,main_large_25m_seed11213_01_mla_121m,results/metrics/main_large_25m_seed11213_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,11213,mtp_121m,main_large_25m_seed11213_02_mtp_121m,results/metrics/main_large_25m_seed11213_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,11213,moe_220m,main_large_25m_seed11213_03_moe_220m,results/metrics/main_large_25m_seed11213_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,11213,mla_moe_220m,main_large_25m_seed11213_04_mla_moe_220m,results/metrics/main_large_25m_seed11213_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,11213,v3_routing_220m,main_large_25m_seed11213_05_v3_routing_220m,results/metrics/main_large_25m_seed11213_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,12721,dense_121m,main_large_25m_seed12721_00_dense_121m,results/metrics/main_large_25m_seed12721_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,12721,mla_121m,main_large_25m_seed12721_01_mla_121m,results/metrics/main_large_25m_seed12721_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,12721,mtp_121m,main_large_25m_seed12721_02_mtp_121m,results/metrics/main_large_25m_seed12721_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,12721,moe_220m,main_large_25m_seed12721_03_moe_220m,results/metrics/main_large_25m_seed12721_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,12721,mla_moe_220m,main_large_25m_seed12721_04_mla_moe_220m,results/metrics/main_large_25m_seed12721_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25m,12721,v3_routing_220m,main_large_25m_seed12721_05_v3_routing_220m,results/metrics/main_large_25m_seed12721_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,1337,dense_121m,main_large_50m_00_dense_121m,results/metrics/main_large_50m_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,1337,mla_121m,main_large_50m_01_mla_121m,results/metrics/main_large_50m_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,1337,mtp_121m,main_large_50m_02_mtp_121m,results/metrics/main_large_50m_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,1337,moe_220m,main_large_50m_03_moe_220m,results/metrics/main_large_50m_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,1337,mla_moe_220m,main_large_50m_04_mla_moe_220m,results/metrics/main_large_50m_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,1337,v3_routing_220m,main_large_50m_05_v3_routing_220m,results/metrics/main_large_50m_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,2027,dense_121m,main_large_50m_seed2027_00_dense_121m,results/metrics/main_large_50m_seed2027_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,2027,mla_121m,main_large_50m_seed2027_01_mla_121m,results/metrics/main_large_50m_seed2027_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,2027,mtp_121m,main_large_50m_seed2027_01_mtp_121m,results/metrics/main_large_50m_seed2027_01_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,2027,moe_220m,main_large_50m_seed2027_02_moe_220m,results/metrics/main_large_50m_seed2027_02_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,2027,mla_moe_220m,main_large_50m_seed2027_04_mla_moe_220m,results/metrics/main_large_50m_seed2027_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,2027,v3_routing_220m,main_large_50m_seed2027_03_v3_routing_220m,results/metrics/main_large_50m_seed2027_03_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,31415,dense_121m,main_large_50m_seed31415_00_dense_121m,results/metrics/main_large_50m_seed31415_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,31415,mla_121m,main_large_50m_seed31415_01_mla_121m,results/metrics/main_large_50m_seed31415_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,31415,mtp_121m,main_large_50m_seed31415_01_mtp_121m,results/metrics/main_large_50m_seed31415_01_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,31415,moe_220m,main_large_50m_seed31415_02_moe_220m,results/metrics/main_large_50m_seed31415_02_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,31415,mla_moe_220m,main_large_50m_seed31415_04_mla_moe_220m,results/metrics/main_large_50m_seed31415_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,31415,v3_routing_220m,main_large_50m_seed31415_03_v3_routing_220m,results/metrics/main_large_50m_seed31415_03_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,4441,dense_121m,main_large_50m_seed4441_00_dense_121m,results/metrics/main_large_50m_seed4441_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,4441,mla_121m,main_large_50m_seed4441_01_mla_121m,results/metrics/main_large_50m_seed4441_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,4441,mtp_121m,main_large_50m_seed4441_01_mtp_121m,results/metrics/main_large_50m_seed4441_01_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,4441,moe_220m,main_large_50m_seed4441_02_moe_220m,results/metrics/main_large_50m_seed4441_02_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,4441,mla_moe_220m,main_large_50m_seed4441_04_mla_moe_220m,results/metrics/main_large_50m_seed4441_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
