metric,metric_group,metric_direction,model,seed,value_10m,value_25m,value_50m,delta_25m_minus_10m,delta_50m_minus_25m,delta_50m_minus_10m,relative_50m_vs_10m_percent,slope_per_log10_token,monotone_decreasing,monotone_increasing
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,4441,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,5501,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,6173,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,8191,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,10007,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,11213,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,12721,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,1337,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,2027,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,31415,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,4441,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,5501,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,6173,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,8191,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,10007,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,11213,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,12721,136305408.0,136305408.0,136305408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,1337,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,2027,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,31415,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,4441,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,5501,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,6173,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,8191,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,10007,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,11213,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,12721,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,1337,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,2027,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,31415,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,4441,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,5501,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,6173,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,8191,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,10007,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,11213,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_moe_220m,12721,95103744.0,95103744.0,95103744.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,1337,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,2027,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,31415,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,4441,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,5501,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,6173,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,8191,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,10007,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,11213,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,v3_routing_220m,12721,78588672.0,78588672.0,78588672.0,0.0,0.0,0.0,0.0,0.0,True,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,dense_121m,1337,4025.7583120742897,4111.281969540267,4147.882162413785,85.52365746597707,36.60019287351861,122.12385033949568,3.0335614031576283,176.82151962598306,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,dense_121m,2027,3992.953425884504,4088.821047129296,4135.09562193564,95.86762124479174,46.27457480634439,142.14219605113612,3.5598260457958966,205.32294283699324,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,dense_121m,31415,3996.7658520559694,4100.579711027818,4150.060657788597,103.81385897184873,49.48094676077926,153.294805732628,3.8354712636911636,221.48853467237822,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,dense_121m,4441,4012.0036893607944,4082.6440831282816,4145.33684253728,70.64039376748724,62.69275940899843,133.33315317648567,3.3233556970564186,190.06424549675648,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,dense_121m,5501,4013.578853175198,4102.56727650805,4150.624680104747,88.98842333285165,48.05740359669744,137.0458269295491,3.4145542405658786,197.5090259943574,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,dense_121m,6173,3997.7938449346157,4092.661692279679,4147.05004517413,94.86784734506318,54.388352894451145,149.25620023951433,3.7334641562027677,214.83723304155154,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,dense_121m,8191,3999.611793708221,4110.856312985748,4145.024677727982,111.24451927752762,34.16836474223328,145.4128840197609,3.635674948466487,211.77804989846547,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,dense_121m,10007,3994.724301013846,4098.818532023311,4137.735382494645,104.09423100946469,38.91685047133433,143.01108148079902,3.5799987860114237,207.5819918301589,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,dense_121m,11213,3983.306972892393,4119.045870972471,4140.61825341108,135.7388980800779,21.572382438609566,157.31128051868745,3.9492633028094053,231.1292117378542,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,dense_121m,12721,3947.6904291717615,4114.245469305791,4147.863932274071,166.55504013402924,33.618462968280255,200.1735031023095,5.070648438467009,293.29392814734734,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_121m,1337,3498.834750676743,3589.6661925319895,3616.5685240516655,90.83144185524634,26.902331519675954,117.7337733749223,3.3649423812356463,171.56657878826394,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_121m,2027,3515.8339655244226,3566.1181507636356,3611.4836809235194,50.284185239213,45.36553015988375,95.64971539909675,2.720541309317194,136.29568973258762,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_121m,31415,3494.6480748255144,3574.3494743864,3616.1891868151783,79.70139956088542,41.83971242877851,121.54111198966393,3.47792136396259,175.2663738906,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_121m,4441,3506.4895823723027,3550.0835886012323,3620.303161849727,43.59400622892963,70.21957324849473,113.81357947742435,3.2457983063626896,160.04443869840435,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_121m,5501,3507.614846702478,3590.8151986633466,3619.3485473281817,83.20035196086837,28.533348664835103,111.73370062570348,3.1854609331108503,162.42856164395246,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_121m,6173,3499.1956106073762,3568.479926886198,3616.356806024653,69.28431627882173,47.876879138455024,117.16119541727676,3.348232235491985,167.95900432798592,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_121m,8191,3493.9801273374856,3600.3448859193054,3606.8945318455185,106.36475858181984,6.549645926213088,112.91440450803293,3.231684222373554,167.07318153138894,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_121m,10007,3516.9584155734847,3575.8615359008436,3606.2761926764656,58.90312032735892,30.414656775622007,89.31777710298093,2.539631310608389,128.84291550901713,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_121m,11213,3472.246575479847,3598.74135773674,3603.284451888953,126.49478225689336,4.543094152212689,131.03787640910605,3.773864371685564,194.29126575530842,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_121m,12721,3475.875204701563,3584.416786353079,3610.058532146736,108.54158165151603,25.641745793657265,134.1833274451733,3.8604184426320396,196.19708354234928,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mtp_121m,1337,3495.1339678940826,3553.624550526933,3594.6660043991114,58.49058263285042,41.04145387217841,99.53203650502883,2.84773165833754,142.63790690629426,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mtp_121m,2027,3482.0103706600385,3552.4202006779287,3589.768604526072,70.40983001789027,37.348403848143334,107.7582338660336,3.0947131798923193,155.3577096552293,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mtp_121m,31415,3471.329464073952,3526.663282155366,3597.143032458545,55.33381808141394,70.47975030317912,125.81356838459305,3.624362645109988,177.85743109363275,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mtp_121m,4441,3490.7122976409796,3538.429491898867,3598.9593338995014,47.71719425788751,60.52984200063429,108.2470362585218,3.10100137246129,153.0387109882792,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mtp_121m,5501,3490.2927228515678,3524.2057127188073,3593.9546797422245,33.9129898672395,69.74896702341721,103.66195689065671,2.970007535813928,145.00810903988489,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mtp_121m,6173,3474.979895242932,3548.1860728137317,3598.6547568281862,73.20617757079981,50.46868401445454,123.67486158525435,3.559009413394272,177.30600430986755,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mtp_121m,8191,3477.0084909742427,3566.0334682327807,3599.9411912654687,89.024977258538,33.907723032687954,122.93270029122596,3.5355881531592335,178.37827811225796,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mtp_121m,10007,3493.0062351001434,3547.8051076504016,3576.1379224804514,54.79887255025824,28.332814830049756,83.131687380308,2.3799467216789734,119.91610118742095,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mtp_121m,11213,3480.093319988245,3566.861460704797,3578.933419445712,86.7681407165519,12.071958740914852,98.84009945746675,2.8401565811402034,145.41532520910152,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mtp_121m,12721,3456.0638567781393,3557.919854453499,3574.9759703548,101.8559976753595,17.056115901301382,118.91211357666089,3.4406804533847595,174.61285042459332,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,moe_220m,1337,2111.2519759192965,2130.6805112108354,2153.6745945330013,19.428535291538992,22.994083322165807,42.4226186137048,2.0093583853359256,60.07237042518829,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,moe_220m,2027,2119.0160841818015,2141.5815635659555,2151.389730970152,22.56547938415406,9.80816740419641,32.37364678835047,1.527767865001867,46.85946692820064,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,moe_220m,31415,2096.4848332390443,2135.2913771782155,2164.7312223032445,38.806543939171206,29.439845125029024,68.24638906420023,3.2552770228611845,97.63223804807797,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,moe_220m,4441,2081.38352280844,2130.6570973710213,2161.672078464285,49.273574562581416,31.014981093263486,80.2885556558449,3.857460904058202,115.33517786317117,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,moe_220m,5501,2090.3889727017236,2134.1992533390126,2192.5059293530353,43.810280637289,58.30667601402274,102.11695665131174,4.885069620288451,144.21376821817478,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,moe_220m,6173,2080.5874336213756,2141.300965769112,2163.324722035125,60.71353214773626,22.02375626601315,82.73728841374941,3.9766311704450055,120.158518053467,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,moe_220m,8191,2096.938484639305,2141.644813233903,2164.0034692090308,44.706328594597835,22.35865597512793,67.06498456972577,3.198233284428543,96.80562398530968,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,moe_220m,10007,2094.6711580476863,2135.477262670393,2157.3518283196195,40.8061046227067,21.874565649226497,62.680670271933195,2.9923871358573524,90.34858928942629,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,moe_220m,11213,2087.053288187177,2152.657700734458,2151.6010551398294,65.6044125472813,-1.0566455946286624,64.54776695265264,3.092770429868568,96.13855808906189,False,False
active_end_to_end_tokens_per_second,efficiency,descriptive_only,moe_220m,12721,2067.147245323982,2146.989095487353,2159.6617610888375,79.84185016337096,12.672665601484368,92.51451576485533,4.475468110659704,135.9285665843586,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_moe_220m,1337,1979.9747294924416,1995.677200005332,2021.446943547168,15.702470512890386,25.76974354183608,41.472214054726464,2.09458299830714,58.29415155395629,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_moe_220m,2027,1959.5628715699197,2009.4070608044774,2029.2746401624222,49.84418923455769,19.867579357944805,69.7117685925025,3.5575163014112605,101.06941733191648,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_moe_220m,31415,1946.1348495390291,1988.7048666003634,2031.4443439420077,42.57001706133428,42.73947734164426,85.30949440297854,4.383534595415387,121.26208384368964,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_moe_220m,4441,1949.1777628445855,2002.5702320608323,2025.8991849067743,53.39246921624681,23.328952845942013,76.72142206218882,3.9360915933200125,111.03982355381198,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_moe_220m,5501,1961.8402389566272,1986.9925614078986,2041.092765706416,25.152322451271402,54.10020429851738,79.25252674978879,4.039703395620937,110.76099139424885,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_moe_220m,6173,1954.4524557727948,1994.5367142523908,2003.257256567443,40.084258479595974,8.720542315052171,48.804800794648145,2.4971086224428323,71.43987932974709,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_moe_220m,8191,1959.055367517471,2008.3164054960473,2017.748214649123,49.26103797857627,9.43180915307562,58.69284713165189,2.9959769440323623,86.05257876714047,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_moe_220m,10007,1957.07767542298,2011.361689706864,2022.8671133839196,54.284014283883835,11.50542367705566,65.7894379609395,3.361616086429504,96.33463175027534,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_moe_220m,11213,1951.1793100413715,2008.5700023900806,2010.4698069724554,57.39069234870908,1.899804582374827,59.29049693108391,3.038700575900774,87.93112810089637,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,mla_moe_220m,12721,1944.4276072985178,2008.7169607114638,2032.7983128032545,64.28935341294596,24.081352091790677,88.37070550473663,4.544818494297872,128.26654687613583,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,v3_routing_220m,1337,2122.9176117898705,2143.424938473328,2166.3365040369476,20.50732668345745,22.91156556361966,43.41889224707711,2.0452462218008476,61.56493722259678,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,v3_routing_220m,2027,2110.1010519701163,2144.928200195081,2158.4621181635507,34.82714822496473,13.533917968469723,48.36106619343445,2.2918838957158796,70.1474633343546,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,v3_routing_220m,31415,2080.7936096703693,2127.66764864771,2178.0211024795753,46.87403897734066,50.35345383186541,97.22749280920607,4.672615888348891,137.98686526625502,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,v3_routing_220m,4441,1732.706703893942,2134.3036440232067,2177.8171411547573,401.5969401292648,43.513497131550594,445.1104372608154,25.688735217594008,656.2801923078586,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,v3_routing_220m,5501,2105.4692661129466,2131.0130136392195,2157.042038622411,25.54374752627291,26.029024983191448,51.57277250946436,2.449466887953033,73.2823027527893,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,v3_routing_220m,6173,2095.961952604179,2137.2712957997783,2158.9289526278526,41.30934319559947,21.657656828074323,62.96700002367379,3.0042052979749423,90.80293910606191,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,v3_routing_220m,8191,2105.7590402746696,2154.0247751344427,2155.4046928004777,48.26573485977315,1.3799176660349985,49.645652525808146,2.357613173031065,73.65498789593482,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,v3_routing_220m,10007,2103.0783838086268,2144.5404875072472,2162.8370402045243,41.46210369862047,18.296552697277093,59.75865639589756,2.841484980111678,86.47291773969307,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,v3_routing_220m,11213,2077.849029168172,2133.114261868846,2160.358365830213,55.265232700674005,27.244103961367273,82.50933666204128,3.970901422759879,119.13355359506726,False,True
active_end_to_end_tokens_per_second,efficiency,descriptive_only,v3_routing_220m,12721,2076.8602407917438,2151.769495168799,2167.419692701112,74.90925437705528,15.650197532313086,90.55945190936836,4.360401828234968,132.62962641656142,False,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,dense_121m,1337,2155770368.0,2155770368.0,2155770368.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,dense_121m,2027,2155770368.0,2155770368.0,2155770368.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,dense_121m,31415,2155770368.0,2155770368.0,2155770368.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,dense_121m,4441,2155770368.0,2155770368.0,2155770368.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,dense_121m,5501,2155770368.0,2155770368.0,2155770368.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,dense_121m,6173,2155770368.0,2155770368.0,2155770368.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,dense_121m,8191,2155770368.0,2155770368.0,2155770368.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,dense_121m,10007,2155770368.0,2155770368.0,2155770368.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,dense_121m,11213,2155770368.0,2155770368.0,2155770368.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,dense_121m,12721,2155770368.0,2155770368.0,2155770368.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mla_121m,1337,2471604736.0,2471604736.0,2471604736.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mla_121m,2027,2471604736.0,2471604736.0,2471604736.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mla_121m,31415,2471604736.0,2471604736.0,2471604736.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mla_121m,4441,2471604736.0,2471604736.0,2471604736.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mla_121m,5501,2471604736.0,2471604736.0,2471604736.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mla_121m,6173,2471604736.0,2471604736.0,2471604736.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mla_121m,8191,2471604736.0,2471604736.0,2471604736.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mla_121m,10007,2471604736.0,2471604736.0,2471604736.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mla_121m,11213,2471604736.0,2471604736.0,2471604736.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mla_121m,12721,2471604736.0,2471604736.0,2471604736.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mtp_121m,1337,2407363072.0,2407363072.0,2407363072.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mtp_121m,2027,2407363072.0,2407363072.0,2407363072.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mtp_121m,31415,2407363072.0,2407363072.0,2407363072.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mtp_121m,4441,2407363072.0,2407363072.0,2407363072.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mtp_121m,5501,2407363072.0,2407363072.0,2407363072.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mtp_121m,6173,2407363072.0,2407363072.0,2407363072.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mtp_121m,8191,2407363072.0,2407363072.0,2407363072.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mtp_121m,10007,2407363072.0,2407363072.0,2407363072.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mtp_121m,11213,2407363072.0,2407363072.0,2407363072.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,mtp_121m,12721,2407363072.0,2407363072.0,2407363072.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,moe_220m,1337,3797250560.0,3797250560.0,3797250560.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,moe_220m,2027,3792028160.0,3792028160.0,3792028160.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,moe_220m,31415,3800865280.0,3800865280.0,3800865280.0,0.0,0.0,0.0,0.0,0.0,True,True
evaluation_peak_memory_bytes,efficiency,descriptive_only,moe_220m,4441,3800396288.0,3800396288.0,3800396288.0,0.0,0.0,0.0,0.0,0.0,True,True
