metric,model,n,mean,std,sem,ci95_low,ci95_high,median,min,max
requested_tokens_per_trainable_parameter,dense_121m,25,0.41340966000131224,5.665583147960493e-17,1.1331166295920986e-17,0.41340966000131224,0.41340966000131224,0.4134096600013123,0.4134096600013123,0.4134096600013123
requested_tokens_per_trainable_parameter,mtp_121m,25,0.36682330315169887,5.665583147960493e-17,1.1331166295920986e-17,0.36682330315169887,0.36682330315169887,0.3668233031516988,0.3668233031516988,0.3668233031516988
requested_tokens_per_trainable_parameter,moe_220m,25,0.22712155516560903,2.832791573980247e-17,5.665583147960493e-18,0.22712155516560903,0.22712155516560903,0.227121555165609,0.227121555165609,0.227121555165609
requested_tokens_per_trainable_parameter,v3_routing_220m,25,0.22712155516560903,2.832791573980247e-17,5.665583147960493e-18,0.22712155516560903,0.22712155516560903,0.227121555165609,0.227121555165609,0.227121555165609
requested_tokens_per_activated_parameter,dense_121m,25,0.41340966000131224,5.665583147960493e-17,1.1331166295920986e-17,0.41340966000131224,0.41340966000131224,0.4134096600013123,0.4134096600013123,0.4134096600013123
requested_tokens_per_activated_parameter,mtp_121m,25,0.36682330315169887,5.665583147960493e-17,1.1331166295920986e-17,0.36682330315169887,0.36682330315169887,0.3668233031516988,0.3668233031516988,0.3668233031516988
requested_tokens_per_activated_parameter,moe_220m,25,0.6362240094857436,0.0,0.0,0.6362240094857436,0.6362240094857436,0.6362240094857436,0.6362240094857436,0.6362240094857436
requested_tokens_per_activated_parameter,v3_routing_220m,25,0.6362240094857436,0.0,0.0,0.6362240094857436,0.6362240094857436,0.6362240094857436,0.6362240094857436,0.6362240094857436
routing_stats.mean_aux_loss,moe_220m,25,0.010260115334143187,3.327090647805643e-05,6.654181295611285e-06,0.010246381778938362,0.010273848889348012,0.0102560442561904,0.0101768132299184,0.0103276146110147
routing_stats.mean_aux_loss,v3_routing_220m,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
routing_stats.mean_expert_load_variance,moe_220m,25,0.00039926648086592006,4.361053445185165e-05,8.72210689037033e-06,0.00038126493700051887,0.00041726802473132126,0.0004003147296316,0.0003309514819799,0.0004846851115871
routing_stats.mean_expert_load_variance,v3_routing_220m,25,0.000622463751472684,7.100224177823663e-05,1.4200448355647325e-05,0.0005931554665369904,0.0006517720364083775,0.0006085501797012,0.000457508690791,0.0007608036272965
