seed,short_name,experiment_name,included_in_training_queue,summary_exists,summary_parseable,raw_log_exists,checkpoint_dir_exists,progress_record_count,progress_statuses,progress_exit_codes,summary_path,raw_log_path,checkpoint_dir
31415,moe_220m,main_large_50m_seed31415_02_moe_220m,False,True,True,True,False,0,,,results\metrics\main_large_50m_seed31415_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed31415_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed31415_02_moe_220m
31415,v3_routing_220m,main_large_50m_seed31415_03_v3_routing_220m,False,True,True,True,False,0,,,results\metrics\main_large_50m_seed31415_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed31415_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed31415_03_v3_routing_220m
4441,dense_121m,main_large_50m_seed4441_00_dense_121m,True,True,True,True,False,2,failed;completed,2;0,results\metrics\main_large_50m_seed4441_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed4441_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed4441_00_dense_121m
4441,mtp_121m,main_large_50m_seed4441_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed4441_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed4441_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed4441_01_mtp_121m
4441,moe_220m,main_large_50m_seed4441_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed4441_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed4441_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed4441_02_moe_220m
4441,v3_routing_220m,main_large_50m_seed4441_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed4441_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed4441_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed4441_03_v3_routing_220m
5501,dense_121m,main_large_50m_seed5501_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed5501_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed5501_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed5501_00_dense_121m
5501,mtp_121m,main_large_50m_seed5501_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed5501_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed5501_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed5501_01_mtp_121m
5501,moe_220m,main_large_50m_seed5501_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed5501_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed5501_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed5501_02_moe_220m
5501,v3_routing_220m,main_large_50m_seed5501_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed5501_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed5501_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed5501_03_v3_routing_220m
6173,dense_121m,main_large_50m_seed6173_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed6173_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed6173_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed6173_00_dense_121m
6173,mtp_121m,main_large_50m_seed6173_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed6173_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed6173_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed6173_01_mtp_121m
6173,moe_220m,main_large_50m_seed6173_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed6173_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed6173_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed6173_02_moe_220m
6173,v3_routing_220m,main_large_50m_seed6173_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed6173_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed6173_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed6173_03_v3_routing_220m
8191,dense_121m,main_large_50m_seed8191_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed8191_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed8191_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed8191_00_dense_121m
8191,mtp_121m,main_large_50m_seed8191_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed8191_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed8191_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed8191_01_mtp_121m
8191,moe_220m,main_large_50m_seed8191_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed8191_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed8191_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed8191_02_moe_220m
8191,v3_routing_220m,main_large_50m_seed8191_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed8191_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed8191_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed8191_03_v3_routing_220m
10007,dense_121m,main_large_50m_seed10007_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed10007_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed10007_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed10007_00_dense_121m
10007,mtp_121m,main_large_50m_seed10007_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed10007_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed10007_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed10007_01_mtp_121m
10007,moe_220m,main_large_50m_seed10007_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed10007_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed10007_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed10007_02_moe_220m
10007,v3_routing_220m,main_large_50m_seed10007_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed10007_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed10007_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed10007_03_v3_routing_220m
11213,dense_121m,main_large_50m_seed11213_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed11213_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed11213_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed11213_00_dense_121m
11213,mtp_121m,main_large_50m_seed11213_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed11213_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed11213_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed11213_01_mtp_121m
11213,moe_220m,main_large_50m_seed11213_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed11213_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed11213_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed11213_02_moe_220m
11213,v3_routing_220m,main_large_50m_seed11213_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed11213_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed11213_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed11213_03_v3_routing_220m
12721,dense_121m,main_large_50m_seed12721_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed12721_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed12721_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed12721_00_dense_121m
12721,mtp_121m,main_large_50m_seed12721_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed12721_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed12721_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed12721_01_mtp_121m
12721,moe_220m,main_large_50m_seed12721_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed12721_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed12721_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed12721_02_moe_220m
12721,v3_routing_220m,main_large_50m_seed12721_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed12721_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed12721_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed12721_03_v3_routing_220m
14563,dense_121m,main_large_50m_seed14563_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed14563_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed14563_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed14563_00_dense_121m
14563,mtp_121m,main_large_50m_seed14563_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed14563_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed14563_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed14563_01_mtp_121m
14563,moe_220m,main_large_50m_seed14563_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed14563_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed14563_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed14563_02_moe_220m
14563,v3_routing_220m,main_large_50m_seed14563_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed14563_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed14563_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed14563_03_v3_routing_220m
16001,dense_121m,main_large_50m_seed16001_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed16001_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed16001_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed16001_00_dense_121m
16001,mtp_121m,main_large_50m_seed16001_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed16001_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed16001_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed16001_01_mtp_121m
16001,moe_220m,main_large_50m_seed16001_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed16001_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed16001_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed16001_02_moe_220m
16001,v3_routing_220m,main_large_50m_seed16001_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed16001_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed16001_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed16001_03_v3_routing_220m
17749,dense_121m,main_large_50m_seed17749_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed17749_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed17749_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed17749_00_dense_121m
17749,mtp_121m,main_large_50m_seed17749_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed17749_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed17749_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed17749_01_mtp_121m
17749,moe_220m,main_large_50m_seed17749_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed17749_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed17749_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed17749_02_moe_220m
17749,v3_routing_220m,main_large_50m_seed17749_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed17749_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed17749_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed17749_03_v3_routing_220m
19937,dense_121m,main_large_50m_seed19937_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed19937_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed19937_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed19937_00_dense_121m
19937,mtp_121m,main_large_50m_seed19937_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed19937_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed19937_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed19937_01_mtp_121m
19937,moe_220m,main_large_50m_seed19937_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed19937_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed19937_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed19937_02_moe_220m
19937,v3_routing_220m,main_large_50m_seed19937_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed19937_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed19937_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed19937_03_v3_routing_220m
22027,dense_121m,main_large_50m_seed22027_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed22027_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed22027_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed22027_00_dense_121m
22027,mtp_121m,main_large_50m_seed22027_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed22027_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed22027_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed22027_01_mtp_121m
22027,moe_220m,main_large_50m_seed22027_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed22027_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed22027_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed22027_02_moe_220m
22027,v3_routing_220m,main_large_50m_seed22027_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed22027_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed22027_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed22027_03_v3_routing_220m
24103,dense_121m,main_large_50m_seed24103_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed24103_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed24103_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed24103_00_dense_121m
24103,mtp_121m,main_large_50m_seed24103_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed24103_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed24103_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed24103_01_mtp_121m
24103,moe_220m,main_large_50m_seed24103_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed24103_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed24103_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed24103_02_moe_220m
24103,v3_routing_220m,main_large_50m_seed24103_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed24103_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed24103_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed24103_03_v3_routing_220m
26557,dense_121m,main_large_50m_seed26557_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed26557_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed26557_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed26557_00_dense_121m
26557,mtp_121m,main_large_50m_seed26557_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed26557_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed26557_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed26557_01_mtp_121m
26557,moe_220m,main_large_50m_seed26557_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed26557_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed26557_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed26557_02_moe_220m
26557,v3_routing_220m,main_large_50m_seed26557_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed26557_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed26557_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed26557_03_v3_routing_220m
28661,dense_121m,main_large_50m_seed28661_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed28661_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed28661_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed28661_00_dense_121m
28661,mtp_121m,main_large_50m_seed28661_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed28661_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed28661_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed28661_01_mtp_121m
28661,moe_220m,main_large_50m_seed28661_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed28661_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed28661_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed28661_02_moe_220m
28661,v3_routing_220m,main_large_50m_seed28661_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed28661_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed28661_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed28661_03_v3_routing_220m
30757,dense_121m,main_large_50m_seed30757_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed30757_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed30757_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed30757_00_dense_121m
30757,mtp_121m,main_large_50m_seed30757_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed30757_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed30757_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed30757_01_mtp_121m
30757,moe_220m,main_large_50m_seed30757_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed30757_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed30757_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed30757_02_moe_220m
30757,v3_routing_220m,main_large_50m_seed30757_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed30757_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed30757_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed30757_03_v3_routing_220m
33191,dense_121m,main_large_50m_seed33191_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed33191_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed33191_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed33191_00_dense_121m
33191,mtp_121m,main_large_50m_seed33191_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed33191_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed33191_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed33191_01_mtp_121m
33191,moe_220m,main_large_50m_seed33191_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed33191_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed33191_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed33191_02_moe_220m
33191,v3_routing_220m,main_large_50m_seed33191_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed33191_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed33191_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed33191_03_v3_routing_220m
35591,dense_121m,main_large_50m_seed35591_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed35591_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed35591_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed35591_00_dense_121m
35591,mtp_121m,main_large_50m_seed35591_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed35591_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed35591_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed35591_01_mtp_121m
35591,moe_220m,main_large_50m_seed35591_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed35591_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed35591_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed35591_02_moe_220m
35591,v3_routing_220m,main_large_50m_seed35591_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed35591_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed35591_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed35591_03_v3_routing_220m
38039,dense_121m,main_large_50m_seed38039_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed38039_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed38039_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed38039_00_dense_121m
38039,mtp_121m,main_large_50m_seed38039_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed38039_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed38039_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed38039_01_mtp_121m
38039,moe_220m,main_large_50m_seed38039_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed38039_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed38039_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed38039_02_moe_220m
38039,v3_routing_220m,main_large_50m_seed38039_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed38039_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed38039_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed38039_03_v3_routing_220m
40543,dense_121m,main_large_50m_seed40543_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed40543_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed40543_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed40543_00_dense_121m
40543,mtp_121m,main_large_50m_seed40543_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed40543_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed40543_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed40543_01_mtp_121m
40543,moe_220m,main_large_50m_seed40543_02_moe_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed40543_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed40543_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed40543_02_moe_220m
40543,v3_routing_220m,main_large_50m_seed40543_03_v3_routing_220m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed40543_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed40543_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed40543_03_v3_routing_220m
43103,dense_121m,main_large_50m_seed43103_00_dense_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed43103_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed43103_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed43103_00_dense_121m
43103,mtp_121m,main_large_50m_seed43103_01_mtp_121m,True,True,True,True,False,1,completed,0,results\metrics\main_large_50m_seed43103_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed43103_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed43103_01_mtp_121m
